publishedAt,title,views,likes,comments
2022-08-04 15:56:18+00:00,The 2022 Jeep Grand Cherokee 4xe Is Jeep Going Electric,185563,6374,1092
2022-08-02 15:57:01+00:00,"The McLaren 765LT Spider Is a $500,000 Top-Down Track Monster",396518,14108,2016
2022-07-31 15:56:22+00:00,The Dodge Ramcharger Is How SUVs Used to Be,522777,19902,3624
2022-07-28 15:56:19+00:00,The Autech Zagato Stelvio AZ1 Is an Absolutely Bizarre 1980s Creation,565249,19343,2658
2022-07-26 15:56:36+00:00,The 2022 Land Rover Defender 90 V8 Is Completely Insane,736821,20835,2887
2022-07-24 16:12:32+00:00,"The 2004 Honda Civic Si Is a Quirky, Forgotten Hot Hatchback",446623,15055,2796
2022-07-21 15:54:13+00:00,The Jaguar XJR-15 Is the Unknown $2 Million Supercar,584485,22005,3397
2022-07-19 15:56:35+00:00,The 2022 Audi R8 Is the End of the Line for the V10,692822,21424,3000
2022-07-17 15:56:45+00:00,The BMW Alpina B3 Touring Is an Ultra-Cool Obscure ‘90s Wagon,352099,12849,1789
2022-07-14 15:56:08+00:00,The Aston Martin Cygnet Is the Most Ridiculous Exotic Car Ever,1310251,36840,6118
2022-07-10 15:55:19+00:00,"Here Are Cars Under $50,000 That Are Going Up in Value",249675,9240,1379
2022-07-07 15:55:13+00:00,The Bugatti Chiron Super Sport Is Luxury Hypercar Insanity,847882,28455,3217
